iter	Passed	Remaining
1332	953303	6198257
1333	954140	6198338
1334	955059	6198941
1335	955831	6198592
1336	957511	6204129
1337	958617	6205938
1338	959403	6205672
1339	959997	6204161
1340	960915	6204749
1341	962475	6209475
1342	964025	6214124
1343	965757	6219936
1344	967834	6227958
1345	969537	6233566
1346	970792	6236281
1347	971643	6236391
1348	972269	6235066
1349	973126	6235217
1350	973894	6234799
1351	974607	6234025
1352	975449	6234081
1353	976434	6235048
1354	977293	6235207
1355	977945	6234039
1356	978783	6234067
1357	979379	6232545
1358	980040	6231441
1359	980651	6230022
1360	981366	6229263
1361	982048	6228295
1362	982669	6226935
1363	983290	6225581
1364	984025	6224951
1365	984735	6224161
1366	985440	6223340
1367	986195	6222835
1368	987019	6222767
1369	987917	6223157
1370	988526	6221732
1371	989415	6222069
1372	990154	6221461
1373	991002	6221530
1374	991751	6220987
1375	992454	6220151
1376	993354	6220550
1377	994046	6219641
1378	994663	6218268
1379	995627	6219065
1380	996349	6218348
1381	997188	6218355
1382	998116	6218921
1383	999023	6219351
1384	999827	6219146
1385	1000845	6220264
1386	1001993	6222186
1387	1002841	6222239
1388	1003614	6221831
1389	1004577	6222596
1390	1005530	6223301
1391	1006275	6222713
1392	1007069	6222432
1393	1007793	6221715
1394	1008647	6221801
1395	1009402	6221273
1396	1010375	6222093
1397	1011104	6221402
1398	1011905	6221158
1399	1012902	6222114
1400	1013690	6221785
1401	1014431	6221169
1402	1015147	6220402
1403	1015917	6219963
1404	1016787	6220133
1405	1018486	6225369
1406	1019899	6228851
1407	1020721	6228721
1408	1021507	6228369
1409	1022279	6227931
1410	1022961	6226945
1411	1024335	6230167
1412	1025218	6230399
1413	1026489	6232986
1414	1028385	6239358
1415	1029103	6238574
1416	1029812	6237744
1417	1030469	6236591
1418	1031291	6236441
1419	1032134	6236416
1420	1032780	6235203
1421	1033566	6234836
1422	1034278	6234015
1423	1034988	6233186
1424	1035844	6233241
1425	1036617	6232790
1426	1037395	6232368
1427	1038151	6231817
1428	1038889	6231158
1429	1039688	6230859
1430	1040477	6230503
1431	1041108	6229200
1432	1041838	6228493
1433	1042643	6228229
1434	1043400	6227685
1435	1044845	6231240
1436	1045657	6231013
1437	1046275	6229632
1438	1046987	6228809
1439	1047766	6228388
1440	1048359	6226861
1441	1049133	6226410
1442	1049979	6226385
1443	1050916	6226899
1444	1051672	6226339
1445	1052469	6226020
1446	1053037	6224345
1447	1053907	6224457
1448	1054782	6224601
1449	1056113	6227430
1450	1056893	6227006
1451	1057788	6227257
1452	1058446	6226111
1453	1059176	6225390
1454	1060182	6226293
1455	1060821	6225040
1456	1061547	6224297
1457	1062389	6224232
1458	1063416	6225249
1459	1064910	6228994
1460	1066703	6234486
1461	1068549	6240268
1462	1069220	6239190
1463	1071146	6245428
1464	1073483	6254047
1465	1074767	6256525
1466	1076610	6262248
1467	1078022	6265457
1468	1079875	6271214
1469	1081402	6275075
1470	1083182	6280396
1471	1084218	6281393
1472	1085633	6284589
1473	1086906	6286951
1474	1087962	6288056
1475	1088667	6287130
1476	1089533	6287133
1477	1090498	6287705
1478	1091482	6288385
1479	1092467	6289067
1480	1093711	6291241
1481	1094355	6289959
